tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
166354,10114,WestChan_PlymouthOuter_wa,1399,Station,2016-08-14,2018-08-07,False
166355,10115,WestChan_PlymSo_fi,1399,Station,2016-08-14,2018-08-07,False
166356,10116,WestChan_PlymSo_se,1399,Station,2016-08-14,2018-08-07,False
166357,10117,WestChan_PlymSo_sh,1399,Station,2016-08-14,2018-08-07,False
166358,10118,WestChan_PlymSo_wa,1399,Station,2016-08-14,2018-08-07,False
166359,10119,WestChan_PoolBryher_fi,1399,Station,2016-08-14,2018-08-07,False
167268,1012,K-A Kokkolan edusta,1399,Station,2016-08-14,2018-03-21,False
166360,10120,WestChan_PoolBryher_se,1399,Station,2016-08-14,2018-08-07,False
166361,10121,WestChan_PoolBryher_sh,1399,Station,2016-08-14,2018-08-07,False
166362,10122,WestChan_PoolBryher_wa,1399,Station,2016-08-14,2018-08-07,False
166363,10123,WestChan_SalcomHar_fi,1399,Station,2016-08-14,2018-08-07,False
166364,10124,WestChan_SalcomHar_se,1399,Station,2016-08-14,2018-08-07,False
166365,10125,WestChan_SalcomHar_sh,1399,Station,2016-08-14,2018-08-07,False
166366,10126,WestChan_SalcomHar_wa,1399,Station,2016-08-14,2018-08-07,False
166367,10127,WestChan_ScillyIsle_fi,1399,Station,2016-08-14,2018-08-07,False
166368,10128,WestChan_ScillyIsle_se,1399,Station,2016-08-14,2018-08-07,False
166369,10129,WestChan_ScillyIsle_sh,1399,Station,2016-08-14,2018-08-07,False
167269,1013,Le-1 Himangan edusta,1399,Station,2016-08-14,2018-03-21,False
166370,10130,WestChan_ScillyIsle_wa,1399,Station,2016-08-14,2018-08-07,False
166371,10131,WestChan_Scornw_fi,1399,Station,2016-08-14,2018-08-07,False
166372,10132,WestChan_Scornw_se,1399,Station,2016-08-14,2018-08-07,False
166373,10133,WestChan_Scornw_sh,1399,Station,2016-08-14,2018-08-07,False
166374,10134,WestChan_Scornw_wa,1399,Station,2016-08-14,2018-08-07,False
166375,10135,WestChan_Sdevon_fi,1399,Station,2016-08-14,2018-08-07,False
166376,10136,WestChan_Sdevon_se,1399,Station,2016-08-14,2018-08-07,False
166377,10137,WestChan_Sdevon_sh,1399,Station,2016-08-14,2018-08-07,False
166378,10138,WestChan_Sdevon_wa,1399,Station,2016-08-14,2018-08-07,False
166379,10139,WestChan_SevStones_fi,1399,Station,2016-08-14,2018-08-07,False
167270,1014,Le-2 Himangan edusta,1399,Station,2016-08-14,2018-03-21,False
166380,10140,WestChan_SevStones_se,1399,Station,2016-08-14,2018-08-07,False
166381,10141,WestChan_SevStones_sh,1399,Station,2016-08-14,2018-08-07,False
166382,10142,WestChan_SevStones_wa,1399,Station,2016-08-14,2018-08-07,False
166383,10143,WestChan_StAustell_fi,1399,Station,2016-08-14,2018-08-07,False
166384,10144,WestChan_StAustell_se,1399,Station,2016-08-14,2018-08-07,False
166385,10145,WestChan_StAustell_sh,1399,Station,2016-08-14,2018-08-07,False
166386,10146,WestChan_StAustell_wa,1399,Station,2016-08-14,2018-08-07,False
166387,10147,WestChan_WCInter_fi,1399,Station,2016-08-14,2018-08-07,False
166388,10148,WestChan_WCInter_se,1399,Station,2016-08-14,2018-08-07,False
